Participant,Estimate,Item
1,8,squirrel
2,3.5,squirrel
3,12.49,squirrel
4,15,squirrel
5,5.5,squirrel
6,12,squirrel
7,10,squirrel
8,9,squirrel
9,20,squirrel
10,7,squirrel
11,9.99,squirrel
12,6.99,squirrel
13,6,squirrel
14,8,squirrel
15,5,squirrel
16,10,squirrel
17,5,squirrel
18,7,squirrel
19,10,squirrel
20,10,squirrel
21,9,squirrel
22,5,squirrel
23,7,squirrel
24,8.5,squirrel
25,8,squirrel
26,12,squirrel
27,8,squirrel
28,5,squirrel
29,6,squirrel
30,7,squirrel
31,11,squirrel
32,12.99,squirrel
33,40,squirrel
34,12.99,squirrel
35,7,squirrel
1,10,pickle
2,5.5,pickle
3,8.79,pickle
4,10,pickle
5,4,pickle
6,7,pickle
7,15,pickle
8,11,pickle
9,15,pickle
10,8,pickle
11,5.49,pickle
12,8.99,pickle
13,12,pickle
14,13,pickle
15,15,pickle
16,7,pickle
17,3,pickle
18,6,pickle
19,30,pickle
20,15,pickle
21,6,pickle
22,8,pickle
23,10,pickle
24,12,pickle
25,10,pickle
26,5,pickle
27,12,pickle
28,10,pickle
29,10,pickle
30,6,pickle
31,5,pickle
32,8.99,pickle
33,17,pickle
34,5.99,pickle
35,7,pickle
1,6,bacon
2,7.5,bacon
3,11.29,bacon
4,7,bacon
5,6,bacon
6,10,bacon
7,20,bacon
8,6,bacon
9,20,bacon
10,7,bacon
11,14.99,bacon
12,14.99,bacon
13,9,bacon
14,15,bacon
15,12,bacon
16,11,bacon
17,7,bacon
18,10,bacon
19,20,bacon
20,10,bacon
21,4,bacon
22,13,bacon
23,15,bacon
24,11.5,bacon
25,4,bacon
26,1.8,bacon
27,6,bacon
28,13,bacon
29,7,bacon
30,3,bacon
31,10,bacon
32,7.99,bacon
33,15,bacon
34,7.99,bacon
35,6,bacon
