iq,group
99,no_coffee
99,no_coffee
103,no_coffee
100,no_coffee
100,no_coffee
98,no_coffee
100,no_coffee
99,no_coffee
100,no_coffee
100,no_coffee
101,no_coffee
98,no_coffee
101,no_coffee
101,no_coffee
101,no_coffee
100,no_coffee
100,no_coffee
100,no_coffee
101,no_coffee
101,no_coffee
99,no_coffee
101,no_coffee
100,no_coffee
100,no_coffee
98,no_coffee
100,no_coffee
100,no_coffee
100,no_coffee
100,no_coffee
101,no_coffee
99,no_coffee
101,no_coffee
100,no_coffee
100,no_coffee
101,no_coffee
101,no_coffee
99,no_coffee
100,no_coffee
99,no_coffee
99,no_coffee
110,coffee
111,coffee
114,coffee
112,coffee
109,coffee
113,coffee
107,coffee
119,coffee
106,coffee
108,coffee
110,coffee
112,coffee
112,coffee
112,coffee
109,coffee
111,coffee
110,coffee
108,coffee
104,coffee
111,coffee
107,coffee
112,coffee
110,coffee
110,coffee
115,coffee
111,coffee
112,coffee
108,coffee
113,coffee
111,coffee
106,coffee
116,coffee
111,coffee
105,coffee
107,coffee
111,coffee
114,coffee
114,coffee
108,coffee
113,coffee
