id,recalled,condition
1,22,control
2,23,control
3,23,control
4,26,control
5,18,control
6,24,control
7,22,control
8,20,control
9,22,control
10,26,control
11,24,control
12,24,control
13,29,control
14,25,control
15,23,control
16,22,control
17,21,control
18,21,control
19,24,control
20,19,control
21,30,control
22,26,control
23,22,control
24,21,control
25,29,control
26,25,control
27,24,control
28,21,control
29,26,control
30,23,control
31,24,control
32,25,control
33,20,control
34,25,control
35,22,control
36,22,control
37,22,control
38,29,control
39,21,control
40,24,control
41,24,control
42,27,control
43,25,control
44,24,control
45,31,control
46,30,15_min
47,29,15_min
48,28,15_min
49,30,15_min
50,27,15_min
51,28,15_min
52,21,15_min
53,25,15_min
54,24,15_min
55,29,15_min
56,23,15_min
57,31,15_min
58,28,15_min
59,26,15_min
60,31,15_min
61,27,15_min
62,24,15_min
63,29,15_min
64,21,15_min
65,29,15_min
66,25,15_min
67,25,15_min
68,30,15_min
69,26,15_min
70,21,15_min
71,29,15_min
72,29,15_min
73,22,15_min
74,27,15_min
75,28,15_min
76,32,15_min
77,25,15_min
78,29,15_min
79,26,15_min
80,25,15_min
81,29,15_min
82,26,15_min
83,26,15_min
84,26,15_min
85,28,15_min
86,32,15_min
87,27,15_min
88,26,15_min
89,25,15_min
90,25,15_min
91,26,60_min
92,27,60_min
93,30,60_min
94,27,60_min
95,28,60_min
96,31,60_min
97,27,60_min
98,30,60_min
99,27,60_min
100,28,60_min
101,23,60_min
102,27,60_min
103,29,60_min
104,30,60_min
105,30,60_min
106,26,60_min
107,32,60_min
108,31,60_min
109,32,60_min
110,28,60_min
111,28,60_min
112,27,60_min
113,25,60_min
114,28,60_min
115,22,60_min
116,30,60_min
117,30,60_min
118,32,60_min
119,27,60_min
120,24,60_min
121,31,60_min
122,27,60_min
123,26,60_min
124,27,60_min
125,27,60_min
126,28,60_min
127,27,60_min
128,27,60_min
129,26,60_min
130,29,60_min
131,27,60_min
132,27,60_min
133,31,60_min
134,30,60_min
135,28,60_min
