id,recalled,condition
1,26,control
2,23,control
3,24,control
4,19,control
5,26,control
6,26,control
7,20,control
8,22,control
9,25,control
10,25,control
11,25,control
12,22,control
13,25,control
14,26,control
15,23,control
16,22,control
17,26,control
18,27,control
19,21,control
20,20,control
21,21,control
22,25,control
23,26,control
24,24,control
25,30,control
26,19,control
27,27,control
28,30,control
29,26,control
30,33,control
31,21,control
32,25,control
33,25,control
34,25,control
35,23,control
36,28,control
37,30,control
38,27,control
39,19,control
40,27,control
41,25,control
42,24,control
43,22,control
44,27,control
45,22,control
46,23,15_min
47,28,15_min
48,33,15_min
49,25,15_min
50,26,15_min
51,30,15_min
52,28,15_min
53,26,15_min
54,30,15_min
55,24,15_min
56,26,15_min
57,28,15_min
58,22,15_min
59,24,15_min
60,26,15_min
61,27,15_min
62,26,15_min
63,26,15_min
64,24,15_min
65,26,15_min
66,24,15_min
67,27,15_min
68,25,15_min
69,26,15_min
70,27,15_min
71,26,15_min
72,31,15_min
73,28,15_min
74,27,15_min
75,29,15_min
76,25,15_min
77,33,15_min
78,28,15_min
79,22,15_min
80,30,15_min
81,28,15_min
82,34,15_min
83,26,15_min
84,24,15_min
85,25,15_min
86,23,15_min
87,28,15_min
88,26,15_min
89,25,15_min
90,30,15_min
91,27,60_min
92,23,60_min
93,31,60_min
94,30,60_min
95,29,60_min
96,27,60_min
97,27,60_min
98,27,60_min
99,30,60_min
100,31,60_min
101,25,60_min
102,28,60_min
103,25,60_min
104,27,60_min
105,31,60_min
106,31,60_min
107,33,60_min
108,32,60_min
109,30,60_min
110,26,60_min
111,32,60_min
112,29,60_min
113,30,60_min
114,32,60_min
115,28,60_min
116,27,60_min
117,28,60_min
118,28,60_min
119,32,60_min
120,25,60_min
121,28,60_min
122,30,60_min
123,33,60_min
124,24,60_min
125,24,60_min
126,27,60_min
127,26,60_min
128,23,60_min
129,30,60_min
130,30,60_min
131,32,60_min
132,28,60_min
133,27,60_min
134,26,60_min
135,26,60_min
