grade,study_week,classes_missed
71,1.9,3
78.7,2.9,0
68.6,0.9,0
74.2,2.6,0
83.5,7.2,0
72.7,1.4,4
70.1,1.1,3
72.8,1.9,3
78.9,3.5,0
84.4,3.6,0
77.9,1.2,0
63.3,2.4,10
75.2,4.7,0
71.3,3.1,0
81.4,2.8,0
71.3,2.9,0
77.7,2.8,0
80.9,4.3,0
72.6,3.7,0
72.6,2,0
64.7,2.6,5
72.1,2.6,2
69.6,2.5,6
78.2,3.2,0
70.9,1.8,0
75,3.5,0
76.3,2.5,0
71.7,2.1,4
70,2.7,0
71.6,1.6,0
79.8,5.3,0
77.2,3.1,0
72.6,2.2,0
70.4,3.8,3
73.7,2.2,6
69.8,1,0
73,2.4,8
72.1,3.1,1
74.2,2.2,0
73.2,2.7,4
78.7,3.6,0
78.1,3,0
80.7,4.8,0
73.7,2.9,0
63.9,4,9
65.6,3.6,2
71.7,1.7,4
70.6,2.2,0
76.7,2.1,0
78.6,1.3,0
80.8,3.1,0
72.8,3.7,0
68.1,5.2,3
77,4.5,1
71.8,2.2,6
73.2,1.8,0
72.6,1.1,0
73.5,2.3,5
69.3,1.1,0
78.6,2.9,0
70,1.6,0
76.3,3.5,0
65.1,1.6,0
72.1,4,0
84.5,1.6,0
81.1,3.6,0
77.8,3.8,0
78.4,5.3,0
78.5,3.4,0
70.6,3.1,4
70.3,2.5,6
72.4,3.6,0
82,3.6,0
82,4.5,0
77.7,3,0
73.9,4.3,2
77.1,2,0
71.4,5.4,7
68.7,3.2,9
74.7,3.2,5
67.6,0.9,6
70.5,1.5,0
73.2,3.9,4
81.8,5.5,0
68.7,1.9,4
67.7,1.7,4
79.3,4,0
69,1.7,3
70.1,2.7,1
76,5.7,6
76.5,4.1,0
70.4,1.6,0
73.3,1.7,3
68,3.4,1
68.6,2.9,0
76.9,4.3,0
65.7,1.8,4
70.7,3.1,8
77.2,3.4,0
77.2,2.5,0
