estimate_1,estimate_2,condition
8,52,elephant
300,200,beetle
5,120,elephant
"300,000","1,000",beetle
45,50,elephant
2000,500,beetle
900,30,beetle
30,5,beetle
35,12,beetle
15,10,beetle
7,5,elephant
300,150,beetle
60,7,beetle
24,13,beetle
6,12,elephant
20,30,elephant
64,12,elephant
4,3,elephant
200,150,elephant
"100,000",100,beetle
500,29,beetle
65,18,beetle
4,250,elephant
25,32,beetle
22,13,beetle
23,46,elephant
1,3,elephant
16,300,elephant
100000,1500,beetle
45,34,beetle
"100,000",100,beetle
12,39,elephant
128,63,beetle
8,300,elephant
5,50,elephant
